ID,Date,# of words in the review,Rating (1-5 stars),Review,,
83,10/10/20,2,5, awesome game,,
84,10/10/20,2,5, fun game,,
85,10/10/20,2,5, download asap!!!!!!!!:),,
86,10/10/20,2,5, great app!,,
87,10/10/20,2,5, very enjoyable.,,
88,10/10/20,2,5, when breeding!,,
89,10/10/20,2,5, great game,,
90,10/10/20,2,5, excellent time,,
91,10/10/20,2,5, definitivamente excelente.,,
92,10/10/20,2,5, good game.,,
93,10/10/20,2,5, tap fish,,
94,10/10/20,2,5, awesome game!,,
95,10/10/20,2,5, awesomely addicting,,
96,10/10/20,2,5, love it!,,
97,10/10/20,2,5, nice app,,
98,10/10/20,2,5, great game,,
99,10/10/20,2,5, tap fish,,
100,10/10/20,2,5, great fun.,,
101,10/10/20,2,5, great game.,,
102,10/10/20,2,5, great fun,,
103,10/10/20,2,5, great game,,
104,10/10/20,2,5, nice game.,,
105,10/10/20,2,5, enjoy it,,
106,10/10/20,2,5, passes time...,,
107,10/10/20,2,5, awesome game,,
108,10/10/20,2,5, thank you,,
109,10/10/20,2,5, great game.,,
110,10/10/20,2,5, very addictive.,,
111,10/10/20,2,5, just amusing,,
112,10/10/20,2,5, haveing fun,,
113,10/10/20,2,5, great fun,,
114,10/10/20,2,5, very entertaining.,,
115,10/10/20,2,5, lovely game,,
116,10/10/20,2,5, fun & easy,,
117,10/10/20,2,5, great game,,
118,10/10/20,2,5, tap fish,,
119,10/10/20,2,5, very addictive.,,
120,10/10/20,2,5, great game.,,
121,10/10/20,2,5, tap fish,,
122,10/10/20,2,5, tap fish,,
123,10/10/20,2,5, love it!!!!!!!!!,,
124,10/10/20,2,5, great game.,,
125,10/10/20,2,5, great fun,,
126,10/10/20,2,5, awsome game,,
127,10/10/20,2,5, great game!,,
128,10/10/20,2,5, love it,,
129,10/10/20,2,5, tap fish,,
130,10/10/20,2,5, great fun,,
131,10/10/20,2,5, great game,,
132,10/10/20,2,5, ashley dawn,,
133,10/10/20,2,5, excellent game!!!,,
134,10/10/20,2,5, great game,,
135,10/10/20,2,5, great game,,
136,10/10/20,2,5, love it,,
137,10/10/20,2,5," or ""coins""",,
138,10/10/20,2,5, verry ffun,,
139,10/10/20,2,5, love it!!!!,,
140,10/10/20,2,5, great game,,
141,10/10/20,2,5, tap ranch,,
142,10/10/20,2,5, great game,,
143,10/10/20,2,5, brilliant game,,
144,10/10/20,2,5, sooo entertaining!!!!,,
145,10/10/20,2,5, great game,,
146,10/10/20,2,5, great game,,
147,10/10/20,2,5, love it.,,
148,10/10/20,2,5, verry cool.,,
149,10/10/20,2,5, greqt app.,,
150,10/10/20,2,5, pretty cool,,
151,10/10/20,2,5, so addicting!!,,
152,10/10/20,2,5, tap fish.,,
153,10/10/20,2,5, llooooovvvvvvvveeeeee it.,,
154,10/10/20,2,5, totaly addicting.,,
155,10/10/20,2,5, tap  fish,,
156,10/10/20,2,5, love it.,,
157,10/10/20,2,5, fun app,,
158,10/10/20,2,5, fun game,,
159,10/10/20,2,5, great game!,,
160,10/10/20,2,5, great game,,
161,10/10/20,2,5, tap fish,,
162,10/10/20,2,5, tap fish,,
163,10/10/20,2,5, soo addicting!!!,,
164,10/10/20,2,5, detailed fish,,
165,10/10/20,2,5, great game,,
166,10/10/20,2,5, highly recommended.,,
167,10/10/20,2,5, excellent application.,,
168,10/10/20,2,5, tap fish,,
169,10/10/20,2,5, like it!,,
170,10/10/20,2,5, now dont,,
171,10/10/20,2,5, great game.,,
172,10/10/20,2,5, great game!,,
173,10/10/20,2,5, tap fish,,
174,10/10/20,2,5, great app,,
175,10/10/20,2,5, awsome cool,,
176,10/10/20,2,5, getting addicted,,
177,10/10/20,2,5, great game,,
178,10/10/20,2,5, its fun.,,
179,10/10/20,2,5, fun game,,
180,10/10/20,2,5, great game!!!,,
181,10/10/20,2,5, great game!,,
182,10/10/20,2,5, love it!,,
183,10/10/20,2,5, entertaining app.,,
184,10/10/20,2,5, kills time.,,
185,10/10/20,2,5, mytouch slide.,,
186,10/10/20,2,5, great game,,
187,10/10/20,2,5, yeah fun,,
188,10/10/20,2,5, cool game,,
189,10/10/20,2,5, very addictive.,,
190,10/10/20,2,5, love it!,,
191,10/10/20,2,5, fub fun,,
192,10/10/20,2,5, poppinqq game !!!!,,
193,10/10/20,2,5, love it!!!!!,,
194,10/10/20,2,5, hellz yeh,,
195,10/10/20,2,5, great play,,
196,10/10/20,2,5, great game,,
197,10/10/20,2,5, great game,,
198,10/10/20,2,5, great app,,
199,10/10/20,2,5, great game,,
200,10/10/20,2,5, pretty cool.. .,,
201,10/10/20,2,5, cool game,,
202,10/10/20,2,5, cute game!!,,
203,10/10/20,2,5, tap fish,,
204,10/10/20,2,5, pretty fun.,,
205,10/10/20,2,5, fishie fishie,,
206,10/10/20,2,5, cool game,,
207,10/10/20,2,5, tap fish,,
208,10/10/20,2,5, highly recommended!!!!,,
209,10/10/20,2,5, great game,,
210,10/10/20,2,5, awsome game,,
211,10/10/20,2,5, tap fish,,
212,10/10/20,2,5, tap fish,,
213,10/10/20,2,5, sammy sparrow,,
214,10/10/20,2,5, great game,,
215,10/10/20,2,5, nice app,,
216,10/10/20,2,5, love jt,,
217,10/10/20,2,5, tap fish,,
218,10/10/20,2,5, fun game,,
219,10/10/20,2,5, really fun.,,
220,10/10/20,2,5, top markotop,,
221,10/10/20,2,5, great app,,
222,10/10/20,2,5, great game!,,
223,10/10/20,2,5, tap fish,,
224,10/10/20,2,5, like it!,,
225,10/10/20,2,5, great game,,
226,10/10/20,2,5, fun app.,,
227,10/10/20,2,5, so addicting,,
228,10/10/20,2,5, very fun!,,
229,10/10/20,2,5, super addicting!,,
230,10/10/20,2,5, time killer,,
231,10/10/20,2,5, great game,,
232,10/10/20,2,5, favorite game,,
233,10/10/20,2,5, very enjoyable.,,
234,10/10/20,2,5, tap fish,,
235,10/10/20,2,5, awesome app,,
236,10/10/20,2,5, tap fish,,
237,10/10/20,2,5, great fun,,
238,10/10/20,2,5, gets expensive!,,
239,10/10/20,2,5, addictive game,,
240,10/10/20,2,5, love it!!!,,
241,10/10/20,2,5, preaty fun,,
242,10/10/20,2,5, great app!!!,,
243,10/10/20,2,5, love it.,,
244,10/10/20,2,5, great game,,
245,10/10/20,2,5, nice game .,,
246,10/10/20,2,5, tap fish,,
247,10/10/20,2,5, awesome game!,,
248,10/10/20,2,5, love it !,,
249,10/10/20,2,5, great game,,
250,10/10/20,2,5, tap fish,,
251,10/10/20,2,5, totally awesome!!,,
252,10/10/20,2,5, great game.,,
253,10/10/20,2,5, great app,,
254,10/10/20,2,5, tapfish fun,,
255,10/10/20,2,5, great game,,
256,10/10/20,2,5, i love.,,
257,10/10/20,2,5, awesome game,,
258,10/10/20,2,5, awesome    xd,,
259,10/10/20,2,5, cool app...,,
260,10/10/20,2,5, be easier.,,
261,10/10/20,2,5, sweet app,,
262,10/10/20,2,5, fun game,,
263,10/10/20,2,5, great game.,,
264,10/10/20,2,5, tap fish,,
265,10/10/20,2,5, great game,,
266,10/10/20,2,5, kwl game,,
267,10/10/20,2,5, great game,,
268,10/10/20,2,5, tha boss,,
269,10/10/20,2,5, fun game,,
270,10/10/20,2,5, really addicting.,,
271,10/10/20,2,5, great game,,
272,10/10/20,2,5, great fun,,
273,10/10/20,2,5, verry addicting!!!!,,
274,10/10/20,2,5, great game,,
275,10/10/20,2,5, fine wallpaper,,
276,10/10/20,2,5, luv it!!!,,
277,10/10/20,2,5, great game!,,
278,10/10/20,2,5, it grateful.,,
279,10/10/20,2,5, awesome game.,,
280,10/10/20,2,5, great game,,
281,10/10/20,2,5, runs smooth,,
282,10/10/20,2,5, great game!,,
283,10/10/20,2,5, play everyday,,
284,10/10/20,2,5, galaxy tab 2 7.0,,
285,10/10/20,2,5, asome game,,
286,10/10/20,2,5, love it!!!!,,
287,10/10/20,2,5, cool app,,
288,10/10/20,2,5, awesome fish,,
289,10/10/20,2,5, nice game,,
290,10/10/20,2,5, great game,,
291,10/10/20,2,5, sweet awesome,,
292,10/10/20,2,5, oh well.,,
293,10/10/20,2,5, fun game.,,
294,10/10/20,2,5, get real,,
295,10/10/20,2,5, fun game .,,
296,10/10/20,2,5, fun game,,
297,10/10/20,2,5, super easy.,,
298,10/10/20,2,5, fun game!!!,,
299,10/10/20,2,5, im addicted!,,
300,10/10/20,2,5, sweet game...,,
301,10/10/20,2,5, love game,,
302,10/10/20,2,5, great game!!!,,
303,10/10/20,2,5, cool game,,
304,10/10/20,2,5, fun game,,
305,10/10/20,2,5, tap fish,,
306,10/10/20,2,5, great game,,
307,10/10/20,2,5, awesome game,,
308,10/10/20,2,5, definitely addicting!,,
309,10/10/20,2,5, awsome awsome,,
310,10/10/20,2,5, fun stuff,,
311,10/10/20,2,5, fun game.,,
312,10/10/20,2,5, super easy.,,
313,10/10/20,2,5, occasionally glitchy.,,
314,10/10/20,2,5, great game,,
315,10/10/20,2,5, great game,,
316,10/10/20,2,5, great game!,,
317,10/10/20,2,5, fun game!,,
318,10/10/20,2,5, awesome game,,
319,10/10/20,2,5, great fun,,
320,10/10/20,2,5, beauty game.,,
321,10/10/20,2,5, great app,,
322,10/10/20,2,5, awesome game.,,
323,10/10/20,2,5, still addicted.,,
324,10/10/20,2,5, quite addictive,,
325,10/10/20,2,5, tap fish,,
326,10/10/20,2,5, tap fish.,,
327,10/10/20,2,5, exallent game,,
328,10/10/20,2,5, great parenting :],,
329,10/10/20,2,5, cool game!,,
330,10/10/20,2,5, fish love,,
331,10/10/20,2,5, great game,,
332,10/10/20,2,5, love it!!!!!,,
333,10/10/20,2,5, fun game,,
334,10/10/20,2,5, cool game,,
335,10/10/20,2,5, nice game,,
336,10/10/20,2,5, cool game!,,
337,10/10/20,2,5, cute game,,
338,10/10/20,2,5, pretty fish,,
339,10/10/20,2,5, tap fish,,
340,10/10/20,2,5, love it!,,
341,10/10/20,2,5, fun game :),,
342,10/10/20,2,5, ok game,,
343,10/10/20,2,5, nice game,,
344,10/10/20,2,5, great game,,
345,10/10/20,2,5, tap fish,,
346,10/10/20,2,5, brilliant fun!,,
347,10/10/20,2,5, its great.,,
348,10/10/20,2,5, beautiful colors.,,
349,10/10/20,2,5, awesome game!!!,,
350,10/10/20,2,5, tap fish,,
351,10/10/20,2,5, great game!!,,
352,10/10/20,2,5, great app,,
353,10/10/20,2,5, great game!,,
354,10/10/20,2,5, love it.,,
355,10/10/20,2,5, cool game,,
356,10/10/20,2,5, cool game,,
357,10/10/20,2,5, awesome game!,,
358,10/10/20,2,5, great app!,,
359,10/10/20,2,5, great game.,,
360,10/10/20,2,5, great app!,,
361,10/10/20,2,5, favorite game,,
362,10/10/20,2,5, great game,,
363,10/10/20,2,5, great app,,
364,10/10/20,2,5, nice game...,,
365,10/10/20,2,5, beautiful colors.,,
366,10/10/20,2,5, love it!,,
367,10/10/20,2,5, great app!,,
368,10/10/20,2,5, excelent game,,
369,10/10/20,2,5, good game.,,
370,10/10/20,2,5, great game,,
371,10/10/20,2,5, love it,,
372,10/10/20,2,5, great game,,
373,10/10/20,2,5, fun game,,
374,10/10/20,2,5, great game,,
375,10/10/20,2,5, great game,,
376,10/10/20,2,5, excellent game.,,
377,10/10/20,2,5, cheaper fish,,
378,10/10/20,2,5, nice game,,
379,10/10/20,2,5, feels real,,
380,10/10/20,2,5, great fun,,
381,10/10/20,2,5, fun game.,,
382,10/10/20,2,5, awesome game,,
383,10/10/20,2,5, fun game,,
384,10/10/20,2,5, time killer.,,
385,10/10/20,2,5, great game.,,
386,10/10/20,2,5, awesome game.,,
387,10/10/20,2,5, tap fish,,
388,10/10/20,2,5, amazing game.,,
389,10/10/20,2,5, cool game,,
390,10/10/20,2,5, tap fish,,
391,10/10/20,2,5, great game.,,
392,10/10/20,2,5, very addicting!,,
393,10/10/20,2,5, kool game,,
394,10/10/20,2,5, tap fish,,
395,10/10/20,2,5, great game,,
396,10/10/20,2,5, excellent  game.,,
397,10/10/20,2,5, amazing game!,,
398,10/10/20,2,5, love it.,,
399,10/10/20,2,5, nice game,,
400,10/10/20,2,5, great game,,
401,10/10/20,2,5, great game,,
402,10/10/20,2,5, great game,,
403,10/10/20,2,5, great game,,
404,10/10/20,2,5, fun game,,
405,10/10/20,2,5, awsome game,,
406,10/10/20,2,5, spongebob grunting,,
407,10/10/20,2,5, great app,,
408,10/10/20,2,5, fun game,,
409,10/10/20,2,5, play everyday,,
410,10/10/20,2,5, itz fun,,
411,10/10/20,2,5, tap fish,,
412,10/10/20,2,5, im hooked,,
413,10/10/20,2,5, favorite app,,
414,10/10/20,2,5, love it!!,,
415,10/10/20,2,4, and graphics.,,
416,10/10/20,2,4, tap fish,,
417,10/10/20,2,4, adorable game,,
418,10/10/20,2,4, great game.,,
419,10/10/20,2,4, oh well....,,
420,10/10/20,2,4, tap fish,,
421,10/10/20,2,4, tap fish,,
422,10/10/20,2,4, be careful!,,
423,10/10/20,2,4, very entertaining.,,
424,10/10/20,2,4, great game,,
425,10/10/20,2,4, radda radda,,
426,10/10/20,2,4, to download!,,
427,10/10/20,2,4, fun game,,
428,10/10/20,2,4, what happened?,,
429,10/10/20,2,4, time killer,,
430,10/10/20,2,4, tap fish,,
431,10/10/20,2,4, thank you,,
432,10/10/20,2,4, marta lopez,,
433,10/10/20,2,4, fun app,,
434,10/10/20,2,4, tap fish,,
435,10/10/20,2,4, fun game.,,
436,10/10/20,2,4, good graphics.,,
437,10/10/20,2,4, wicked kwl,,
438,10/10/20,2,4, love it.,,
439,10/10/20,2,4, please help.,,
440,10/10/20,2,4, fun game.,,
441,10/10/20,2,4, fun game.,,
442,10/10/20,2,4, love it..,,
443,10/10/20,2,4, be careful!,,
444,10/10/20,2,4, great fun!,,
445,10/10/20,2,4, great app!,,
446,10/10/20,2,4, galaxy s,,
447,10/10/20,2,4, very addictive.,,
448,10/10/20,2,4, love game.,,
449,10/10/20,2,4, very upsetting!,,
450,10/10/20,2,4, otherwise fun!,,
451,10/10/20,2,4, very addictive.,,
452,10/10/20,2,4, very fun.,,
453,10/10/20,2,4, good game.,,
454,10/10/20,2,4, worth playing.,,
455,10/10/20,2,4, great game,,
456,10/10/20,2,4, great game,,
457,10/10/20,2,4, fun easy,,
458,10/10/20,2,4, tab fish,,
459,10/10/20,2,4, great game,,
460,10/10/20,2,4, tap fish,,
461,10/10/20,2,4, great app.,,
462,10/10/20,2,4, great game!,,
463,10/10/20,2,4, cool game,,
464,10/10/20,2,4, fun game!,,
465,10/10/20,2,1,this app.,,
466,10/10/20,2,1, zero stars.,,
467,10/10/20,2,1, total scam.,,
468,10/10/20,2,1, terror fish.,,
469,10/10/20,2,1, wicked annoying.,,
470,10/10/20,2,1, free reviving!,,
471,10/10/20,2,1, free reviving!,,
472,10/10/20,2,1, this app.,,
473,10/10/20,2,1, see ya!!!,,
474,10/10/20,2,1, booo! :-( :-p,,
475,10/10/20,2,1, this game..,,
476,10/10/20,2,1, very upset.,,
477,10/10/20,2,1, bs game,,
478,10/10/20,2,1, very frustrating.,,
479,10/10/20,2,1, what bs!!!,,
480,10/10/20,2,1, it sucks!,,
481,10/10/20,2,1, not anymore.,,
482,10/10/20,2,1, not anymore.,,
483,10/10/20,2,1, stay away!,,
484,10/10/20,2,1, so sad.,,
485,10/10/20,2,3, love playing,,
486,10/10/20,2,3, too costly.,,
487,10/10/20,2,3, love it!!,,
488,10/10/20,2,3, very disappointed.,,
489,10/10/20,2,3, thats weird.,,
490,10/10/20,2,3, kool fish :),,
491,10/10/20,2,3, tap fish,,
492,10/10/20,2,3, okay ... slow,,
493,10/10/20,2,3, nice game :)),,
494,10/10/20,2,3, incredibly annoying!!!,,
495,10/10/20,2,3, okay game.,,
496,10/10/20,2,3, type game.,,
497,10/10/20,2,3, love playing,,
498,10/10/20,2,3, player name..,,
499,10/10/20,2,3, very frustrating.,,
500,10/10/20,2,3, fun game.,,
501,10/10/20,2,3, awesome game,,
502,10/10/20,2,3, please help!,,
503,10/10/20,2,2," ""fish live""",,
504,10/10/20,2,2, uninstalling this,,
505,10/10/20,2,2, not impressed,,
506,10/10/20,2,2, pls help!!!!,,
507,10/10/20,2,2, this sucks!!!!!!!,,
508,10/10/20,3,5, coolest game ever,,
509,10/10/20,3,5, hours of fun!,,
510,10/10/20,3,5, fun time killer,,
511,10/10/20,3,5, lovin this game,,
512,10/10/20,3,5, very fun game,,
513,10/10/20,3,5, love this game,,
514,10/10/20,3,5, love my fish!!!!,,
515,10/10/20,3,5, love this game,,
516,10/10/20,3,5, play it everyday,,
517,10/10/20,3,5, great fun app,,
518,10/10/20,3,5, fun fun fun,,
519,10/10/20,3,5, love this game,,
520,10/10/20,3,5, love this game,,
521,10/10/20,3,5, i love it!,,
522,10/10/20,3,5, need more free.,,
523,10/10/20,3,5, a great game!,,
524,10/10/20,3,5, awesome and entertaining,,
525,10/10/20,3,5, its sooooo fun,,
526,10/10/20,3,5, passes the time.,,
527,10/10/20,3,5, good time killer.,,
528,10/10/20,3,5," some interesting ""species""",,
529,10/10/20,3,5, love this game ..,,
530,10/10/20,3,5, i love tapfish.,,
531,10/10/20,3,5, love this game,,
532,10/10/20,3,5, love this game.,,
533,10/10/20,3,5, best game ever!!!!!,,
534,10/10/20,3,5, love this app,,
535,10/10/20,3,5, nice great game.,,
536,10/10/20,3,5, love this game.,,
537,10/10/20,3,5, very good game !,,
538,10/10/20,3,5, addicted to it,,
539,10/10/20,3,5, love this app!,,
540,10/10/20,3,5, best game ever.,,
541,10/10/20,3,5, love this app,,
542,10/10/20,3,5, thank you darrell-,,
543,10/10/20,3,5, awesome and additive,,
544,10/10/20,3,5, love this app,,
545,10/10/20,3,5, fun yet challenging,,
546,10/10/20,3,5, love this app :),,
547,10/10/20,3,5, sooo much fun!!,,
548,10/10/20,3,5, awesome seasonal breeding.,,
549,10/10/20,3,5, non stop fun.,,
550,10/10/20,3,5, great time killer.,,
551,10/10/20,3,5, no thinking involved.,,
552,10/10/20,3,5, it takes 4 ever!!!!!!,,
553,10/10/20,3,5, fun  a+ game.,,
554,10/10/20,3,5, great fish challenging,,
555,10/10/20,3,5, very great game,,
556,10/10/20,3,5, love this game,,
557,10/10/20,3,5, love this game,,
558,10/10/20,3,5, it's alright.,,
559,10/10/20,3,5, totally relaxes me.,,
560,10/10/20,3,5, love this game,,
561,10/10/20,3,5, in my opinion!,,
562,10/10/20,3,5, i <3 my fishies!!!,,
563,10/10/20,3,5, love this game!!!!!!!!,,
564,10/10/20,3,5, good time waster,,
565,10/10/20,3,5, love this game,,
566,10/10/20,3,5, love this game..,,
567,10/10/20,3,5, good time waster,,
568,10/10/20,3,5, great relaxing game.,,
569,10/10/20,3,5, awsome very awsome!!!!!,,
570,10/10/20,3,5, nice to play.,,
571,10/10/20,3,5, interesting no doubt .,,
572,10/10/20,3,5, my new fav.,,
573,10/10/20,3,5, i love it!,,
574,10/10/20,3,5, .gd wee game,,
575,10/10/20,3,5, very relaxing game,,
576,10/10/20,3,5, love the colors,,
577,10/10/20,3,5, a great game,,
578,10/10/20,3,5, nice and relaxing,,
579,10/10/20,3,5, great mindless fun!,,
580,10/10/20,3,5, love tap fish,,
581,10/10/20,3,5, like this game! :),,
582,10/10/20,3,5, i love it!,,
583,10/10/20,3,5, its so addicting,,
584,10/10/20,3,5, love this game <3,,
585,10/10/20,3,5, passes the time.,,
586,10/10/20,3,5, love this game,,
587,10/10/20,3,5, love this game!!!!,,
588,10/10/20,3,5, sweet very entertaining,,
589,10/10/20,3,5, very relaxing game.,,
590,10/10/20,3,5, lots of fun,,
591,10/10/20,3,5, love these fishes!!!,,
592,10/10/20,3,5, very colorful & beautiful,,
593,10/10/20,3,5, love this game,,
594,10/10/20,3,5, really nice game,,
595,10/10/20,3,5, kills the time,,
596,10/10/20,3,5, ilove this game,,
597,10/10/20,3,5, fun fun fun,,
598,10/10/20,3,5, my touch slide.,,
599,10/10/20,3,5, fun and addicting,,
600,10/10/20,3,5, love this app!,,
601,10/10/20,3,5, install to play!,,
602,10/10/20,3,5, nice little game,,
603,10/10/20,3,5, i play it 24/7.,,
604,10/10/20,3,5, hope it helps,,
605,10/10/20,3,5, love this game!!!!,,
606,10/10/20,3,5, totally love it.,,
607,10/10/20,3,5, love this game!,,
608,10/10/20,3,5, can be addicting,,
609,10/10/20,3,5, keeps me occupied.,,
610,10/10/20,3,5, calms me down .,,
611,10/10/20,3,5, tapfish is awesome,,
612,10/10/20,3,5, its very addicting,,
613,10/10/20,3,5, love this game!!!,,
614,10/10/20,3,5, fun so fun,,
615,10/10/20,3,5, lots of fun.,,
616,10/10/20,3,5, nice job doing,,
617,10/10/20,3,5, great for timeouts.,,
618,10/10/20,3,5, i love it!,,
619,10/10/20,3,5, samsung galaxy ace,,
620,10/10/20,3,5, love this app,,
621,10/10/20,3,5, love this game,,
622,10/10/20,3,5, very addicting game!,,
623,10/10/20,3,5, its afun game,,
624,10/10/20,3,5, love this  game,,
625,10/10/20,3,5, just try it.,,
626,10/10/20,3,5, great time spender,,
627,10/10/20,3,5, great time killer.,,
628,10/10/20,3,5, no thinking involved.,,
629,10/10/20,3,5, i love it!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,,
630,10/10/20,3,5, very time consuming :),,
631,10/10/20,3,5, it's fun.,,
632,10/10/20,3,5, awesome time killer,,
633,10/10/20,3,5, cant stop playing,,
634,10/10/20,3,5, great little game,,
635,10/10/20,3,5, i love tapfish?!!!!,,
636,10/10/20,3,5, lots of fun!,,
637,10/10/20,3,5, mr.3 fun app,,
638,10/10/20,3,5, best game evur!!!,,
639,10/10/20,3,5, love this game !,,
640,10/10/20,3,5, love this game.,,
641,10/10/20,3,5, love this game,,
642,10/10/20,3,5, love this game.,,
643,10/10/20,3,5, its so realistic!,,
644,10/10/20,3,5, good job folks.,,
645,10/10/20,3,5, good muy buena,,
646,10/10/20,3,5, love this game.,,
647,10/10/20,3,5, tapfish great gamr,,
648,10/10/20,3,5, add me please.,,
649,10/10/20,3,5, love this game,,
650,10/10/20,3,5, its so realistic,,
651,10/10/20,3,5, very fun game.,,
652,10/10/20,3,5, fun fun game,,
653,10/10/20,3,5, love this game! :),,
654,10/10/20,3,5, love my fish!,,
655,10/10/20,3,5, loads of fun,,
656,10/10/20,3,5, exelent time waster,,
657,10/10/20,3,5, love this game,,
658,10/10/20,3,5, really neat game.,,
659,10/10/20,3,5, still enjoy it.,,
660,10/10/20,3,5, great wee app,,
661,10/10/20,3,5, part of day.,,
662,10/10/20,3,5, love my tank .,,
663,10/10/20,3,5, game verry good,,
664,10/10/20,3,5, cool but limited.,,
665,10/10/20,3,5, its so addicting.,,
666,10/10/20,3,5, best android game,,
667,10/10/20,3,5, amazing and addictive,,
668,10/10/20,3,5, love this game!,,
669,10/10/20,3,5, love this app,,
670,10/10/20,3,5, great fun game,,
671,10/10/20,3,5, cool love fish,,
672,10/10/20,3,5, love love it,,
673,10/10/20,3,5, love my tank .,,
674,10/10/20,3,5, like the games,,
675,10/10/20,3,5, love tap fish,,
676,10/10/20,3,5, a great game,,
677,10/10/20,3,5, interesting when bred.,,
678,10/10/20,3,5, entertaining and awesome,,
679,10/10/20,3,5, fun fun fun,,
680,10/10/20,3,5, beware.... very addictive.,,
681,10/10/20,3,5, a great game,,
682,10/10/20,3,5, lots of fun!!,,
683,10/10/20,3,5, love this game,,
684,10/10/20,3,5, love this game!!!!!!!!!!!!!!!!!!!,,
685,10/10/20,3,5, love my fish!,,
686,10/10/20,3,5, nice job doing,,
687,10/10/20,3,5, fun and colorful.,,
688,10/10/20,3,5, fun and intersting.,,
689,10/10/20,3,5, great addictive game,,
690,10/10/20,3,5, love this game!!!,,
691,10/10/20,3,5, addicting and fun,,
692,10/10/20,3,5, great time waster,,
693,10/10/20,3,5, long term fun,,
694,10/10/20,3,5, love this game,,
695,10/10/20,3,5, good fun game.,,
696,10/10/20,3,5, i like tapfish,,
697,10/10/20,3,5, love the game.,,
698,10/10/20,3,5, luv the game,,
699,10/10/20,3,5, i love it,,
700,10/10/20,3,5, it's addictive!,,
701,10/10/20,3,5, love this game,,
702,10/10/20,3,5, best game ever!!! :),,
703,10/10/20,3,5, love this game,,
704,10/10/20,3,5, i love tapfish.,,
705,10/10/20,3,5, great addictive game,,
706,10/10/20,3,5, relaxing and fun,,
707,10/10/20,3,5, great addictive game,,
708,10/10/20,3,5, kids love it,,
709,10/10/20,3,5, great casual game!,,
710,10/10/20,3,5, its amazingly perfect,,
711,10/10/20,3,5, i love it.,,
712,10/10/20,3,5, so much fun!,,
