ID,Date,# of words in the review,Rating (1-5 stars),Review,Sentiment,Type of feedback
2782,10/10/20,16,5,really fun and addicting so glad they give you fish bucks when you complete a level.,POSITIVE,general praise
3100,10/10/20,30,5,for those having problems breeding the limited breedable fish.dont forget they have selected partners to breed with.you cant mix and match all of them like the regular breedables,POSITIVE,user experience
2830,10/10/20,17,5,support is very helpful and has helped several times :)  still love the game and hooked on it!,POSITIVE,general praise
2833,10/10/20,17,5,my 1 year old son loves to sit on my lap and just watch the fish swim around!!,POSITIVE,general praise
2811,10/10/20,17,5,but when you put a quest out lately the things you need to buy are pretty high.,POSITIVE,general complaint
2958,10/10/20,20,5,its a fun game..its you a chance to be a creative and not spend real money while doing so,POSITIVE,general praise
2706,10/10/20,15,5,i haven't spent a dime and so far it has been worth every cent!,POSITIVE,general praise
2696,10/10/20,15,5,i love this game so much it is so awesome you have to play it!!!!!!   :-),POSITIVE,general praise
3053,10/10/20,25,5,this is a fun game where if my fish die i don't have to worry about what to do with them or the equipment!,POSITIVE,general praise
2768,10/10/20,16,5,but anyways u can do a bunch of stuff and even be your live wallpaper 5 star,POSITIVE,general praise
3027,10/10/20,23,5,i love this game i'm on it all the time the only thing i don't like is your new bubble idea,POSITIVE,general praise
3026,10/10/20,23,5,really fun game...i play together with my 9 year old and we have so much fun showing each other what we have done...5 *****,POSITIVE,general praise
2957,10/10/20,20,5,if u love to have fishes in a tank this is the perfect game to help take care ur pet,POSITIVE,general praise
2701,10/10/20,15,5,the events are fun though and i find myself playing this game throughout the day.,POSITIVE,general praise
2772,10/10/20,16,5,i love dis game... even though i have to fight my girl to have a turn''',POSITIVE,general praise
3139,10/10/20,42,5,i don't have like the idea of having to buy fish bucks for real money ey to get most of the fish a d do most of the challenges but they are helpful if there is something wrong with your game,POSITIVE,general praise
2774,10/10/20,16,5,i like taking care of my fish and doing the quests unlike some fish tank games.,POSITIVE,general praise
2943,10/10/20,20,5,i love the game... wish the fish would grow faster... and i wish it was easier to get fish bucks..,POSITIVE,general praise
2954,10/10/20,20,5,unistalled and reinstalled this game is a lot better glad u guys fixed it please keep up the good work :-),POSITIVE,general praise
2695,10/10/20,15,5,i really enjoy looking after the aquarium's. as well as cross breeding the fish.,POSITIVE,general praise
2906,10/10/20,19,5,love this game its fun eazy and entertaining the fish are graet the events r fun the issues resolved,POSITIVE,general praise
2863,10/10/20,18,5,love this game just whish it was eazier to gain fish bucks but its the best game yet,POSITIVE,general praise
3087,10/10/20,28,5,best game ever i only wish i could transfer my tank from my old phone to my new phone so that i wouldn't have to start over.,POSITIVE,general praise
2870,10/10/20,18,5,i think this game helps me learn how to take care of fish and clean up after them:-),POSITIVE,general praise
2771,10/10/20,16,5,okay i play this all the time ever while i was at the movies .so fun,POSITIVE,general praise
3122,10/10/20,33,5,its so addicting i love this game and i agree its fun i've had it on my other phone and ipod i just wish i could of stayed with my previous level.,POSITIVE,general praise
2829,10/10/20,17,5,love fish so tapfish is excellent just as long as none of my fish die on me,POSITIVE,general praise
2915,10/10/20,19,5,nice app for people that can have pet in the house this is a good game to be intertane,POSITIVE,general praise
3028,10/10/20,23,5,i've only been playing for about two weeks and its soooooooooooooooooooo fun really really fun and thanks for making such amazing fish,POSITIVE,general praise
2702,10/10/20,15,5,i highly recommend installing this app if you are looking to keep a virtual pet,POSITIVE,general praise
3128,10/10/20,35,5,its good fun and good if you are out and it good because when you are bord you can just get it out and thats makes me happy so i go from bord to happy,POSITIVE,general praise
3146,10/10/20,46,5,i love it this game is soooo coool fun and it has very wierd but coool fish .if u want a game where u can get new and breed fish and have coool fish and tanks this is the game for u can   b-) :-p :-) :-d,POSITIVE,general praise
3075,10/10/20,27,5,absolutely love this app......i love fish and all that live in it......this is great.....way cheaper and easier to take care of for sure.....lol,POSITIVE,general praise
2976,10/10/20,21,5,the best game i've ever played five stars best and ur dumb if u given tap 1 star 2 stars and 3 stars,POSITIVE,general praise
